word,nums,symbol,image,meaning
Rose,0417|2914,,img/dict/rose.jpg,
Raven,0713|8206,,img/dict/raven.jpg,
Flower (general),1834|6610,,img/dict/flower.jpg,
Cat,2290|4551,,img/dict/cat.jpg,
Snake,0318|7412,,img/dict/snake.jpg,
Fish,5538|9027,,img/dict/fish.jpg,
Bird,1297|3814,,img/dict/bird.jpg,
Lotus,8812|2309,,img/dict/lotus.jpg,
Mango,4206|7754,,img/dict/mango.jpg,
Durian,1335|6980,,img/dict/durian.jpg,
Rain,9004|2711,,img/dict/rain.jpg,
Lightning,6680|1122,,img/dict/lightning.jpg,
Moon,7015|4493,,img/dict/moon.jpg,
Sun,2111|8880,,img/dict/sun.jpg,
Star,7702|3158,,img/dict/star.jpg,
Boat,5699|2045,,img/dict/boat.jpg,
Train,4040|9582,,img/dict/train.jpg,
Car,8123|6750,,img/dict/car.jpg,
House,1414|9290,,img/dict/house.jpg,
Tree,2304|7689,,img/dict/tree.jpg,
Baby,6611|0330,,img/dict/baby.jpg,
Wedding,8800|4627,,img/dict/wedding.jpg,
Funeral,1413|7719,,img/dict/funeral.jpg,
Gold,9990|0842,,img/dict/gold.jpg,
Water,3021|6508,,img/dict/water.jpg,
Fire,5566|1937,,img/dict/fire.jpg,
Dragon,8888|2199,,img/dict/dragon.jpg,
Phoenix,7788|4013,,img/dict/phoenix.jpg,
Tiger,0123|5555,,img/dict/tiger.jpg,
Elephant,4000|8211,,img/dict/elephant.jpg,
